GeographyCode,MedianAge
E02000589,32
E02000590,37
E02000591,34
E02000592,35
E02000593,34
E02000594,43
E02000595,39
E02000596,34
E02000597,37
E02000598,40
E02000599,39
E02000600,33
E02000601,34
E02000602,31
E02000603,33
E02000604,36
E02000605,39
E02000606,32
E02000607,32
E02000608,31
E02000609,40
E02000610,34
E02000611,42
E02000612,41
E02000613,36
E02000614,35
E02000615,39
E02000616,37
E02000617,36
E02000619,34
E02000620,32
E02000621,32
E02000622,30
E02000623,32
E02000624,31
E02000625,30
E02000626,30
E02000627,29
E02000628,31
E02000629,30
E02000630,31
E02000631,33
E02000632,29
E02000633,31
E02000634,30
E02000635,32
E02000636,31
E02000637,32
E02000638,31
E02000639,31
E02000640,31
E02000641,30
E02000642,33
E02000643,32
E02000644,33
E02000645,33
E02000646,32
E02000647,35
E02000648,32
E02000649,32
E02000650,34
E02000651,33
E02000652,33
E02000653,29
E02000654,29
E02000655,30
E02000657,29.5
E02000658,31
E02000659,33
E02000660,32
E02000661,36
E02000662,31
E02000663,33
E02000664,31
E02000665,34.5
E02000666,33
E02000667,35
E02000668,36
E02000669,33
E02000670,33
E02000671,34
E02000672,33
E02000673,35
E02000674,36
E02000675,37
E02000676,35
E02000677,37
E02000678,33
E02000679,34
E02000680,34
E02000681,35
E02000682,34
E02000683,34
E02000685,35
E02000686,32
E02000687,35
E02000689,33
E02000690,45
E02000691,33
E02000692,36
E02000693,32
E02000694,33
E02000695,34
E02000696,31
E02000697,32
E02000698,39
E02000699,34
E02000700,32
E02000701,33
E02000702,33
E02000703,39
E02000704,34
E02000705,35
E02000706,32
E02000707,33
E02000708,37
E02000709,41
E02000710,36
E02000711,34
E02000712,36
E02000713,39
E02000714,29
E02000715,28
E02000716,29
E02000717,28
E02000718,28
E02000719,29
E02000720,29
E02000721,28
E02000722,29
E02000723,28
E02000724,28
E02000725,29
E02000726,28
E02000727,28
E02000728,29
E02000729,29
E02000730,29
E02000731,28
E02000732,28
E02000733,29
E02000734,29
E02000735,29
E02000736,28
E02000737,30
E02000738,29
E02000739,29
E02000740,30
E02000741,30
E02000742,29
E02000743,30
E02000744,30
E02000745,30
E02000746,28
E02000747,29
E02000748,30
E02000749,30
E02000750,29
E02000751,44
E02000752,36
E02000753,36
E02000754,37
E02000755,38
E02000756,37
E02000757,35
E02000758,39
E02000759,35
E02000760,36
E02000762,38
E02000763,34
E02000764,38
E02000765,34
E02000767,34
E02000768,39
E02000769,32
E02000770,32
E02000772,31
E02000773,30
E02000774,30
E02000776,32
E02000777,40
E02000779,30
E02000780,28
E02000781,32
E02000782,28
E02000783,28
E02000784,39
E02000785,39
E02000786,37
E02000787,36
E02000788,37
E02000789,38
E02000790,36
E02000791,38
E02000792,39
E02000793,38
E02000794,37
E02000795,41
E02000796,37
E02000797,35
E02000798,37
E02000799,36
E02000800,39
E02000801,38
E02000802,40
E02000803,40
E02000804,38
E02000805,39
E02000806,41
E02000807,31
E02000808,31
E02000809,31
E02000810,31
E02000812,30
E02000813,31
E02000814,30
E02000815,28
E02000816,31
E02000817,32
E02000818,31
E02000819,30
E02000820,31
E02000821,31
E02000822,32
E02000823,31
E02000824,30
E02000825,30
E02000826,31
E02000827,32
E02000828,31
E02000829,33
